,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\01 Hometown Glory.mp3,-2.13748,5294.036043925836,0.47353064817438684,4.977432901158456,0.002408337347228912,3030.2149760477173,0.8455479343389858,14.036123615109219,-2.137480000000002,3394.259786375705,0.13264897187196223,3.800462547518597,-0.01244854080901475,5187.157772676174,-0.0009386471331407491,4.477323026874181,-2.13748,331.48439132315553,-0.07053032037282479,3.9175762147190785,-0.00039673278879824597,526.1570747290432,-0.08791411499554241,4.153488719473299,-2.1374799999999996,44.779905641365524,-0.05400669865580423,3.524225533089026,-0.053303839732888124,75.15583933553144,0.18841543940248867,3.7339586017239137,0.25398093159625607,0.2272068413137555,0.1673084447697912,0.11599962293925273,0.062311990553548836,0.05363862799953844,0.032770702951873315,0.028969555598397898,0.03906983166137595,0.0187434506162098
Adele\02 I'll Be Waiting.mp3,-4.426768333333333,6435.73051280483,0.13737357431445518,3.4199869614730876,0.0063166771944619905,4018.4611718140413,0.3698626219980925,7.104112438495818,-4.42676833333334,4739.353393775564,-0.019589353447631682,3.17642123030674,0.10927515458591866,5589.787017846764,-0.03429008332249187,3.233116068362967,-4.426768333333333,1051.4406564159988,-0.04429404865128404,2.936682255103648,0.15273212202033082,1899.5587279586052,0.08802612264428444,2.965199156969193,-4.426768333333334,103.09606576139555,0.025332523732554117,2.6859619177836316,0.2599198664440733,181.55126606045425,0.036578589642505564,2.8222527560499593,0.2896116433831715,0.17924397560305572,0.10656344387838279,0.10757011133288445,0.08419379833631378,0.0735195123905414,0.04926112985682975,0.04779141688714358,0.03909497280163665,0.023149995530040306
Adele\03 Don't You Remember.mp3,-5.934786666666667,6400.636582150811,0.2108090074624347,3.800244202768935,0.006868344780574635,4127.950856828557,0.4120297518262928,7.174116729764938,-5.934786666666666,4549.838721639836,-0.00818571214211052,3.8560172386412597,0.15060751012516924,5086.44981562714,0.05369749042152165,3.609265848163506,-5.934786666666667,1233.6890184546594,0.07704245476285969,2.993368057597366,0.10453075512585581,2231.1382243793314,0.04769681526609803,3.106885907290373,-5.9347866666666675,110.9784962136261,-0.20352432051689376,3.762621870957492,-0.18382470784641153,186.62391472176813,0.10107594591697897,3.581062439309331,0.25872136450427075,0.19173331851266726,0.1113347842076131,0.11023715252699248,0.07192181785326736,0.07098470648796003,0.046545884559472936,0.06698378391966774,0.053547210804776084,0.017989976623312136
Adele\04 Turning Tables.mp3,-1.528345,5401.885159398204,0.2753173131893299,3.683955637351378,-0.00017666696111160186,3649.207590376761,0.5304150269817971,10.179812445139824,-1.5283450000000045,3411.3229994431863,0.05672372101583702,3.0959951629173776,0.06630277171286537,5498.639727908543,-0.01071781098169874,3.2071830068739775,-1.5283450000000005,302.9052678879614,-0.001343714579249371,3.634318841165461,0.12668944824137326,504.0071343919929,0.03445035610789395,4.014504103931616,-1.528345,39.806935227536776,0.16837090119029324,3.2762320288844577,0.07957429048413946,67.54443075987241,-0.10151974251775785,3.3155757165855753,0.22491173354248087,0.20230970301015277,0.1285797576538309,0.11494311232737524,0.07318269350738532,0.07439021780167625,0.045978802061858094,0.04749407348405233,0.05577948060469091,0.03243042600649728
Adele\05 Set Fire To The Rain.mp3,-3.2623066666666665,6159.763542651229,0.1911155510077233,3.522342252589592,0.007056678427797379,3759.5338506688336,0.49818044293325137,6.740625011555804,-3.2623066666666642,4414.165481667463,-0.001415253245001147,3.2649981741958234,0.1228853814230227,4626.867463319413,0.02928069853572794,3.336978193392966,-3.262306666666666,1147.3896673883926,-0.019455542510302678,2.537122657780999,0.5829321553592306,2026.4387440455935,0.13433799361887933,2.5871375487555053,-3.262306666666667,106.87990731077235,-0.06577683458866587,2.505856324992307,0.49558263772955047,185.54438682829664,0.16332876181138012,2.7331343026620476,0.26853232335087596,0.1990448079996032,0.10939993552905203,0.11879500181569903,0.07535229686127967,0.06951278894617625,0.043936190651129525,0.049085676566447675,0.044149871748002056,0.022191106531734516
Adele\06 If It Hadn't Been For Love.mp3,-0.03238333333333333,5876.463382629441,0.19787547299850652,3.7826193520421145,0.018506697511162518,4059.0778014328785,0.4661225131794083,8.17725325356178,-0.032383333333332605,3887.5631950057505,0.22253278561872797,3.6831823813605946,-0.04222570376172619,4588.205578449454,0.007644578905078846,3.82958932245135,-0.032383333333331696,1014.2297264341643,-0.21188772880579881,3.7810508541536887,-0.10912152025336819,1810.0344022959603,-0.1366390156588863,3.928037407431881,-0.03238333333333315,91.26565101566447,-0.13083866634980623,3.180706412827467,0.13333722871452403,157.08731979245098,-0.04311611880126646,3.5376170852369153,0.2529951203246239,0.18861104883315855,0.1523410768558512,0.10549529895822883,0.07290159138752861,0.0693555808489469,0.043976281807753155,0.04403118293263545,0.044582900259500784,0.025709917791772705
Adele\08 Take It All.mp3,-1.488365,5057.189303130212,0.48548834598122537,4.648584438182008,-0.00853001421669036,3755.879744211068,0.4632292876963209,14.166860760914883,-1.4883649999999984,3088.5702860479196,0.13115553456119614,3.4531266438189494,-0.06105601760029047,4848.624364503728,-0.03244807807165769,3.513963335571487,-1.4883650000000006,325.08818031170676,-0.016627437456806463,3.6496125042014724,-0.01266211035172643,558.5530959386596,-0.013497411394362481,3.7405501609366345,-1.4883650000000002,33.815170107045766,-0.1006656234131348,3.3637732868349457,-0.10780300500834746,58.12110297392937,0.12484314089053408,3.3015311244999013,0.22251158385959713,0.20461006283036445,0.09521729757471935,0.10539129590432084,0.11431675997793674,0.08790929939678327,0.0532074798625307,0.049655178578374,0.0449963414234455,0.022184700591928144
Adele\09 Rumour Has It.mp3,-1.4906066666666666,6143.7576154270955,0.09198006403027403,3.5703103468643307,0.005211675352792254,3090.867220540453,0.34821830313647106,8.231726893076605,-1.4906066666666693,4943.246414588301,-0.012281488498560674,3.4770010687137445,0.06884448074134951,5546.867659956034,-0.0003758058559115938,3.4048374831318644,-1.4906066666666666,1069.7828778672329,-0.05328500043425909,3.941873973789883,0.17507084514085847,1867.321098188297,0.04674498015657002,4.185631403555137,-1.490606666666666,110.2443323091273,0.08433604049773079,3.65818019692569,-0.06932721202003417,193.79974026668742,0.12157677673534693,3.808836513461698,0.34811659986098886,0.16121883295349088,0.12100653512403882,0.09203138164221729,0.06555146009019523,0.05868699514230954,0.03833515418818911,0.04397254952254442,0.04016188995361337,0.030918601522412777
Adele\11 One And Only.mp3,-5.517926666666667,6422.747373459064,0.1323526424363315,3.5886306941150594,0.0026433377388962315,3805.8047564997464,0.549018735946806,9.56574858765748,-5.517926666666669,4958.253298161861,-0.005183597936034634,3.5836914073850505,-0.03832897214954068,4853.890947264185,0.09293478755612543,3.5288791016743586,-5.517926666666669,1525.3569536192072,-0.04862604709448159,2.963785443699171,0.23107184530754438,2808.463010045008,0.15929326826589266,3.0224187029325873,-5.517926666666667,157.29247231133246,-0.11840011083311372,3.3779151033339576,0.13072287145242212,289.410789865301,0.12039224558816418,3.5122377622438554,0.280484960039495,0.14915366009438508,0.1342069654457627,0.12510780979400116,0.07804381662822958,0.06951166914079342,0.048374068233306255,0.04263779374652976,0.040252812435342955,0.03222644444215414
Adele\12 Lovesong.mp3,-0.994205,5521.922244746969,0.26252654413054805,3.8069993166111,-0.00358167263612106,2326.6757877515306,0.7377011094349613,14.592352789784966,-0.994204999999999,4576.656684381396,0.12492969390509724,3.7773124462881227,0.11218686978116549,5106.197003178073,0.019948509889770885,3.5275540101961242,-0.9942049999999981,1348.6461365498617,-0.08770769143876123,3.4288371852409667,-0.3339089848308059,2527.1298593230003,-0.07361884351741836,3.459131545778143,-0.9942049999999999,113.12619026476425,-0.04946180489068148,4.2562353270202875,-0.12666611018363882,192.08976233346633,-0.07942439983895658,5.145659928895109,0.38386675421672695,0.19207164490080791,0.10035570930267891,0.07842470132506989,0.0512321418277827,0.05626645820089199,0.03383553517216172,0.02840521918907993,0.05138076133921225,0.02416107452558721
