,power4,amp1mean,power7,amp10dstd,power1,power9,amp100dstd,amp10skew,amp1000dstd,amp1dskew
Adele\01 Hometown Glory.mp3,1.737043694850082,0.23219621357300474,-1.5868648506445198,-0.0678513231098981,-1.3910994129952161,-0.1834291872935872,-1.2935111999143818,1.348842400481492,-1.2457645321941138,2.3809943085625447
Adele\02 I'll Be Waiting.mp3,1.2283122706414915,0.18014576611819483,-0.2944300252674808,0.23456140517306734,-0.6173426763001886,-0.18049173124402487,-0.6778086681367972,-0.28848882242404755,-0.5897023061811774,0.7574927899069368
Adele\03 Don't You Remember.mp3,1.3892714968054989,0.14585867878316855,-0.5072369830237057,-0.14349254494438796,-1.288156145418561,1.5080877648260353,-0.5291599935471694,-0.16584205837729438,-0.5584230183869067,0.9014081001706509
Adele\04 Turning Tables.mp3,1.6732819760969024,0.24604582301220554,-0.5516819918159841,0.16610115059285818,-2.0223662807171925,1.768903080281938,-1.3034411241373323,0.532262320710545,-1.2926984823360805,1.3054539452180731
Adele\05 Set Fire To The Rain.mp3,1.905748258462378,0.2066215708088696,-0.7117713659209477,-0.4886824552629905,-1.0751013081647556,0.41011566905512614,-0.6209277499050192,-0.09302541564055893,-0.5650796717284554,1.195438153688773
Adele\06 If It Hadn't Been For Love.mp3,1.1030947843132524,0.2800587837177129,-0.708629227314793,-0.5177211955540304,-1.41250729609048,0.46071012131723604,-0.7179428516340686,2.315547560778366,-0.7405534427355973,1.0860252786428832
Adele\08 Take It All.mp3,1.0968180717102725,0.24695482903776514,0.014864586078317345,-0.3221220021734214,-2.0744879446714246,0.5090160149869044,-1.2789879086169107,1.3327804033908375,-1.350805203592805,1.0761507758071949
Adele\09 Rumour Has It.mp3,0.2905307650138877,0.2469038613412345,-1.150751789207324,0.20232489907826198,0.6531512861972013,-0.05583460710574296,-0.692260951794249,-0.20989234923786393,-0.5141749879461633,0.6836212962314576
Adele\11 One And Only.mp3,2.2867340075217606,0.15533662405117196,-0.3639533518074789,-0.3181662993018056,-0.815537782900481,-0.045211350116268666,-0.2703425300932398,-0.13355416165997758,0.07538792807347913,1.3689479169126924
Adele\12 Lovesong.mp3,-0.5306491775184737,0.25819030721661795,-1.5034087792755833,-0.12866053526098115,1.4295018383856541,1.2549628061844493,-0.396465527517324,1.2658211585773802,-0.524719162294958,2.012915918350669
Adele\13 Chasing Pavements.mp3,1.079740600869423,-0.12228680628586132,-0.6362396241483811,0.85995901935667,0.2238578753315672,0.11558329316240257,-0.3938078185464577,-0.32268484086555355,-0.2920870563157529,0.5130758973406666
Adele\14 I Can't Make You Love Me.mp3,0.9655021728261372,0.26674602138390247,-0.990499150840808,-0.6679715032458735,-1.072910412867853,0.29809415413591817,-1.265487358905355,1.048261038710044,-1.2822933709218194,2.5893360794501987
Adele\15 Make You Feel My Love.mp3,1.295171397703796,0.2651584818460171,-1.1948059100919586,-0.6365516247003125,-0.9735947784338149,-0.03615465276644141,-1.2428356376747018,0.9156651344094224,-1.2092711119722945,2.639770255392018
Adele\16 Someone Like You.mp3,2.4907876630926986,0.26620989426827724,-0.2004812022190414,-0.2961589824208891,-2.1255432675338866,0.9681830383475325,-1.2890497766403217,0.5064951520379353,-1.3603111542799515,2.256694078444505
Adele\17 Rolling In The Deep.mp3,0.4996117360965755,0.22759585791588718,-0.7096643002193421,0.3188773402996618,0.35497795056657006,-0.010301310286045194,-0.863823688904492,-0.19853900099136745,-0.7778023943222834,0.8419135374428409
BeastieBoys\01 So What'cha Want.mp3,0.48221864844076756,0.04471360711874221,-0.46509793823368567,2.1438842000516307,0.13663514719434944,-0.7036244004278707,1.5881321031963616,0.012437634742767774,1.5084972004326846,-0.5572480651175769
BeastieBoys\03 Ch-Check It Out.mp3,0.24110452538305857,0.16319641126917345,0.8554273074220888,-0.38915800043788307,-0.5889316364397097,0.5789985903084149,2.3680535129675224,0.25415471426583625,2.9989033685745214,-1.1274462223368662
BeastieBoys\04 No Sleep Till Brooklyn.mp3,0.1350734042988481,0.36253361131189327,2.1779881277932236,-1.1612669534206441,-0.5124138829505702,3.3361887015765888,0.567455652150588,-1.2079164917164367,0.5637775447410279,-0.5588919652382398
BeastieBoys\05 Hey Ladies.mp3,1.2985911757775979,-4.991791500522418,0.5808074600601525,-0.7405173054023316,-0.1445687600996585,-0.6909597762380273,0.6035439356874414,-0.08129366399652113,0.5291191934535543,-0.42934982090038576
BeastieBoys\06 Pass the Mic.mp3,0.14586275241587124,-0.09483878804708923,-0.8097278433485255,0.9565588349470077,1.4042712378624076,-1.231693521264437,2.2646590742859467,0.0515681952584147,1.4316777544574675,-1.5044983125322506
BeastieBoys\07 An Open Letter to NYC.mp3,-1.1967327239285037,0.14345584557178337,-0.4445227760960231,-0.34775971252635407,0.9401193777396081,-0.21164560860645307,1.2268164746833994,0.5773873959694917,0.9447626521254153,-0.14085865690111923
BeastieBoys\08 Root Down.mp3,-0.5919576180503829,-0.9841484325443611,-1.1312968432216426,1.6579593481855557,1.7799177993407125,-1.0614182447743978,-0.1934132688962309,-1.036458210026431,0.17566732418229605,-0.05964620598413643
BeastieBoys\09 Shake Your Rump.mp3,-0.471259825836396,-5.022434719656186,-0.293627565024816,0.24177694168625535,1.871778242569038,0.12199218808195694,1.441998486904566,-3.442488540606509,0.6638543840480423,-0.22994268519196728
BeastieBoys\10 Intergalactic.mp3,-0.12447854203274572,-0.16158396134855493,0.4857639692717342,0.13737495693270463,0.2246380096818889,0.5173497492608635,2.9830718744384894,0.6400789432433384,2.369547288072341,-0.679454427048446
BeastieBoys\11 Sure Shot.mp3,-0.2815182946353568,-2.187654410641147,-0.5973954404709273,1.5700759704914877,0.748151000746815,-0.6013666604388987,1.6919306245666355,0.35561557361588847,2.0124973488900726,-0.4329733609829942
BeastieBoys\12 Body Movin' (Fatboy Slim Remix).mp3,0.4642149398893206,-0.13737180447940883,-0.9321458834055419,0.8010263482823925,0.8696639222408759,-1.0214513440703719,0.35065832434062677,-0.22054693722416038,0.8251861790178215,-0.3354933624411311
BeastieBoys\15 Fight for Your Right.mp3,-0.6062542009774226,0.3319887276223611,1.3466450054723855,0.7568483911556564,-0.3772926234513815,1.4433019889178882,0.8162992104322663,-0.6553058578171559,0.9259989935848241,-0.4819885660065247
Garrett\01 Smooth Criminal 1.mp3,-1.7244142786836798,0.2582469969370713,1.7593182727628751,0.6002725890709352,0.4866235212713313,1.801525864218143,-0.026234288182801036,-0.8354559861551484,0.24215649988937266,-0.4911319864616164
Garrett\02 Who Wants to Live Forever_ 1.mp3,-1.3711026077648432,0.2801137303050508,-0.0736668356625647,-1.3485350918428758,-0.8948851540970147,0.40810201676682645,-1.2542374774870522,-0.10943581133284651,-1.270501211917669,-0.32531246044444173
Garrett\03 Clair de Lune 1.mp3,-1.2520113793305838,0.265785782402425,1.9337946423742942,-0.7277373499611877,-2.1906142471238446,0.9092237982088648,-0.9167321023815864,0.46226045629653456,-1.276260228383535,-0.4996522161689329
Garrett\04 He's a Pirate (Pirates of the Car 1.mp3,-1.5901490189544993,0.2821824882654217,0.8996867908214204,-0.5730030619971748,0.24375841001798726,-0.30215350307509525,-0.6735578313118049,0.5329417188173308,-0.771625478752395,-0.7129006751966831
Garrett\05 Summertime 1.mp3,-0.9200614129801701,0.2538899220321671,-0.237588820746266,-1.0447118690017885,0.9643814934499926,-0.2291503232848441,-0.9696271427709915,0.39523159036248695,-0.9556209898457488,-0.6099027779578451
Garrett\09 O Mio Babbino Caro 1.mp3,-1.4971771961537585,0.26067715186533286,1.4787783602070492,-0.24424738952418948,-0.7025316848249284,-0.9787581504870675,-0.7303077083148994,-0.2236146896762537,-1.158570741157101,-0.6395552513943397
Garrett\10 Air.mp3,-1.4590727045264134,0.2530985017035106,-0.18818607710516314,-0.43940901562695056,0.9680967126633626,-1.0879807321175405,-0.2898477960592764,-0.014362923502624017,0.15431162490114814,-0.7856951777282281
Garrett\11 Thunderstruck.mp3,-1.4205031705050992,0.25822532145572147,1.3956663867677934,-0.08148265451510783,-0.370547463079423,1.6802542661102216,-0.28708301095085226,0.33551952684409714,-0.11090159564035298,-0.6276203086898673
